recipe_id,title,date,desc,rating,calories,sodium,fat,protein
38,Sauteed Broccoli Rabe ,2004-08-20T04:00:00.000Z,Active time: 25 min Start to finish: 30 min,4.375,107,329,10,4
39,Grouper with Tomato and Basil ,2004-08-20T04:00:00.000Z,NA,4.375,336,413,16,44
40,Better-Than-Pita Grill Bread ,2006-07-24T18:27:47.000Z,Cooking these flatbreads in a grill pan gives them a smoky flavor. They can be served with hummus or the Lebanese Lamb and Bean Stew. Don't expect a pocket — they are like rustic tortillas.,2.5,145,208,6,3
41,Coconut-Key Lime Sheet Cake ,2016-03-21T14:14:00.000Z,"This moist and fluffy dessert uses toasted coconut, coconut milk, and coconut oil to infuse as much flavor as possible into the cake. Good thing this sheet cake serves a crowd—the creamy key lime topping will have your guests coming back for a second piece.",4.375,483,100,35,5
42,"Baked Halibut with Orzo, Spinach, and Cherry Tomatoes ",2005-10-01T04:00:00.000Z,"Kristi Parnell of San Marcos, California, writes: ""Whether I'm cooking for my family or for company, I like to keep my recipes healthy by using lots of fresh fish and vegetables. The baked halibut here has become a weeknight staple.""",4.375,634,181,31,44
43,Honey Rye ,2011-08-10T04:00:00.000Z,"For inspiration, co-owner Eyal Raziel looked to his native Israel, where honey liqueur is popular. ""The Bärenjäger balances the kick of the rye,"" he says.",0,NA,NA,NA,NA
44,Purple-Potato and Crab Gratin ,2004-08-20T04:00:00.000Z,This recipe originally accompanied Poached Halibut with Black Truffles and Purple-Potato and Crab Gratin .,3.75,NA,NA,NA,NA
45,"Grilled Beef, Jícama, and Apple Salad ",2013-07-31T04:00:00.000Z,"This Thai-inspired salad has that classic tart-sweet-spicy flavor balance that really gets your taste buds dancing. The cool, crunchy herb-laced salad is the yin to the yang of the rich tender beef. Whats more, the food processor does most of the work.",4.375,NA,NA,NA,NA
46,Pickled Red Onions ,2007-04-24T21:31:48.000Z,A habanero chile gives these onions a nice bit of heat.,4.375,90,881,0,2
47,Spicy Black Beans and Rice ,2004-08-20T04:00:00.000Z,NA,3.75,202,815,8,19
48,Herbed Goat Cheese Spread with Mint ,2008-11-04T04:00:00.000Z,"This easy appetizer is packed with flavor. And since this is a Latin-themed party, dont forget to set out a bowl of chips with your favorite salsa.",4.375,NA,NA,NA,NA
49,Mexican Lime Soup ,2004-08-20T04:00:00.000Z,A homey yet sophisticated soup that's great for casual entertaining.,4.375,338,174,21,14
50,Citrus Salad with Mint Sugar ,2004-08-20T04:00:00.000Z,NA,4.375,191,4,1,3
51,Mexican Chile and Mushroom Soup ,2006-05-16T20:12:06.000Z,NA,3.125,166,508,12,8
52,Peanut Butter-Banana Muffins ,2004-08-20T04:00:00.000Z,NA,3.75,275,242,13,6
53,Braised Chicken With Artichokes and Olives ,2013-02-20T04:00:00.000Z,"I didn't think it was possible to love artichokes more than I already did until I lived in Italy. There they harvest artichokes in both spring and fall, and that abundance graces their cuisine. Artichokes also enhance their health, as they stimulate the gallbladder to produce bile, which escorts toxins out of the body and also helps break down fats in the diet. Here, artichoke hearts are combined with chicken, chickpeas, and olives to create a rich, nourishing stew, seasoned with a potpourri of heady and healthful spices, including turmeric, cumin, coriander, and mint. For a wonderful pairing, serve it over Brown Rice Pilaf with Saffron and Ginger .",4.375,NA,NA,NA,NA
54,Pancetta Roast Chicken with Walnut Stuffing ,2008-04-02T18:27:00.000Z,Topping the chicken with pancetta slices before roasting adds a rich flavor.,5,1203,583,87,89
55,1977 Coconut Angel Food Cake ,2004-08-20T04:00:00.000Z,NA,3.75,266,148,7,4
56,Collard-and-Prosciutto Chicken Roulades Over Watercress Salad ,2016-07-06T13:00:00.000Z,"This is a simple recipe that tends to impress. These elegant roulades are surprisingly easy to make and will get you a standing ovation at the dinner table. Take a bow, as you're giving everyone a nice dose of brain protection thanks to the vitamin A, vitamin C, vitamin K, fiber, and phytonutrients found in the watercress and collards. If you can't locate fresh figs, swap in two thinly sliced ripe pears, and feel free to swap out the collards for kale.",5,NA,NA,NA,NA
57,Veal Burgers Stuffed with Mozzarella Cheese ,2004-08-20T04:00:00.000Z,NA,4.375,904,1413,70,38
58,Pumpkin Muffins ,2008-10-16T04:00:00.000Z,"Just right for breakfast on the go, these muffins are subtly spiced, fluffy, and speckled with plenty of golden raisins.",4.375,223,211,10,4
59,Orange Balsamic Glaze ,2004-08-20T04:00:00.000Z,This recipe is an accompaniment for Buffalo Prime Rib with Orange Balsamic Glaze.,3.75,194,697,3,2
60,Roasted Eggplant and Olive Spread with Pita Bread Chips ,2004-08-20T04:00:00.000Z,NA,3.75,177,116,7,5
61,Pecan Blue Cheese Crackers ,2004-08-20T12:48:48.000Z,NA,3.75,70,60,6,2
62,"Romaine, Grilled Avocado, and Smoky Corn Salad with Chipotle-Caesar Dressing ",2009-05-21T04:00:00.000Z,Grilled avocado is one of those things that sound faintly ridiculous until you try it—then you wonder why you never had it before.,4.375,368,112,32,6
63,Southwest Corn Bread Stuffing with Corn and Green Chilies ,2004-08-20T04:00:00.000Z,"For best results, make this stuffing with day-old Buttermilk Corn Bread.",5,293,565,15,7
64,Colin Perry’s Sorghum and Apple Sticky Pudding ,2016-08-31T21:13:22.157Z,"Eastern Kentucky–born and –raised chef Colin Perry plies his art now in Montreal at Dinette Triple Crown. The food there taps into traditions of both the far north and the high country South, as in this delectably oh-so-sticky pudding. “I tend to use a lot of maple syrup in my cooking up here, because it’s so delicious and so accessible. But sometimes the taste of sorghum is the only taste that will do,” he says. Really fresh leaf lard has become more available in recent years from artisan butchers and specialty stores. If you can’t get real lard, then use butter. Shortening and grocery-store lard aren’t worth it.",0,523,694,19,8
65,Mixed Berry Pavlovas ,2004-08-20T04:00:00.000Z,NA,3.75,252,89,7,4
66,Orange-Almond Cake with Chocolate Icing ,2004-08-20T04:00:00.000Z,An impressive-looking layer cake with great flavor—and lots of room for candles.,4.375,NA,NA,NA,NA
67,Scarborough Fair Tofu Burger ,2011-06-23T04:00:00.000Z,Wheat Free,3.125,224,340,12,21
68,Italian Vinaigrette ,2004-08-20T04:00:00.000Z,"This vinaigrette is great on any type of mixed green, pasta, or marinated vegetable salads.",3.75,185,155,20,0
69,White Chocolate Tartlets with Strawberries and Bananas ,2004-08-20T04:00:00.000Z,White Chocolate Tartlets with Strawberries and Bananas These irresistible sweets feature a hazelnut crust that is lined with dark chocolate and filled with white chocolate mousse.,4.375,830,148,59,9
70,Tomato-Infused Bulgur Pilaf with Fresh Basil ,2013-09-20T04:00:00.000Z,"When an abundance of fresh vine-ripened tomatoes piles high on my mother's kitchen counter in Thessa-loniki, she cooks up a simple pot of juicy bulgur with the fruit. This classic pairing is born out of necessity in the heat of summer in many parts of the Mediterranean. It nicely accompanies lamb chops, flank steak, chicken breast, or grilled shrimp.",0,195,469,5,7
71,"Roasted Butternut Squash, Rosemary, and Garlic Lasagne ",2004-08-20T04:00:00.000Z,NA,4.375,684,637,42,21
72,Grilled Roast Beef and Stilton Sandwich ,2004-08-20T04:00:00.000Z,NA,4.375,641,907,37,39
73,Pear-Hazelnut Cheesecakes with Pear-Raspberry Sauce ,2004-08-20T04:00:00.000Z,Make these individual desserts a day ahead.,3.75,538,231,36,8
74,Nut Butter ,2012-05-18T04:00:00.000Z,NA,3.75,264,84,24,7
75,Cheese Ravioli with Fresh Tomato Sauce ,2006-03-01T04:00:00.000Z,NA,3.75,365,599,14,19
76,Banana Layer Cake with Cream Cheese Frosting ,2004-08-20T04:00:00.000Z,NA,4.375,926,569,56,9
77,South American-Style Jícama and Orange Salad ,2004-08-20T04:00:00.000Z,NA,3.125,26,364,0,1
78,Roasted Acorn Squash and Chestnuts ,2004-08-20T12:48:48.000Z,NA,3.75,230,9,7,2
79,Maple Pumpkin Pots de Crème ,2004-08-20T04:00:00.000Z,Active time: 30 min Start to finish: 3 hr,4.375,157,51,8,3
80,Anadama Rolls with Mixed Seeds ,2004-08-20T04:00:00.000Z,"Anadama bread recipes, which date back to pre-Revolutionary New England, all call for molasses and cornmeal for substantial- and delicious- results. This contemporary rendition is no exception.",3.75,NA,NA,NA,NA
81,"Braised Chicken and Rice with Orange, Saffron, Almond, and Pistachio Syrup ",2010-04-06T04:00:00.000Z,"Here is a jewel of an Afghani dish. Unusual and exotic, it is one I cook regularly, sometimes with shoulder of lamb instead of chicken thighs. I serve it with slow-cooked spinach, finished with leeks and a minuscule amount of rhubarb. This may sound strange, but the rhubarb is sweetened by the leeks and it really does work.",4.375,1172,220,73,54
82,Horseradish Dill Potato Salad ,2004-08-20T04:00:00.000Z,Can be prepared in 45 minutes or less.,4.375,298,199,12,6
83,Chicken in Green Pumpkin-Seed Sauce ,2004-08-20T12:48:48.000Z,Pipián Verde con Pollo,4.375,682,909,57,36
84,Jeweled Rice ,2013-05-09T04:00:00.000Z,"Yes, making this rice is a time commitment and a labor of love. But the ingredients aren't difficult to find, and the finished dish is stunning.",5,517,20,18,7
85,Braised Brisket with Bourbon-Peach Glaze ,2012-01-18T04:00:00.000Z,"No one will fault you for seasoning brisket with salt and pepper, braising it in beer, and calling it a day. But follow chef Lee's method—which calls for a bath of stout, bourbon, and soy sauce; a glaze made with peach jam; and a side of easy homemade pickles if you'd like—and you're on the path to savory-and-sweet nirvana.",4.375,856,1797,54,45
86,Grilled Pork Chops with Classic Barbecue Sauce ,2004-08-20T04:00:00.000Z,Constant basting with this lively sauce ensures moist chops and plenty of flavor. Warm potato salad with tarragon and white wine is the natural accompaniment.,4.375,599,1038,28,48
87,Bacon Crackers ,2015-11-05T12:00:00.000Z,"These dangerously addictive little bites fueled countless 1950s and '60s bridge parties from Greenwood Mississippi, to Greenville, South Carolina, before being rescued from recipe-box oblivion by modern Southern cooks like Martha Hall Foose. And thank goodness. Magic happens when a cracker slowly sops up the fat from smoky, crisping bacon; it transforms into something more akin to piecrust. Unadorned, bacon crackers are pure pork perfection. The addition of a tine bundle of rosemary needles makes for a fancified version, while topping the ""belt"" of bacon with a bit of brown sugar adds a hint of sweet to the smoke.",0,NA,NA,NA,NA
88,Roast Chicken With Sorghum and Squash ,2016-11-21T21:53:28.237Z,"Sorghum is a gluten-free grain, with a texture similar to wheat berries, barley, and millet—so feel free to substitute those for this chicken recipe instead.",0,1143,311,77,63
89,Asparagus with Bacon and Onion ,2006-03-07T04:00:00.000Z,NA,4.375,129,146,11,4
90,Ricotta Omelets ,2013-05-09T04:00:00.000Z,This also makes a great dinner for one; just cut the ingredients in half.,3.75,NA,NA,NA,NA
91,"Carrot, Snow Pea, and Red Pepper Julienne in Honey Vinaigrette ",2004-08-20T04:00:00.000Z,This recipe was created to accompany Chicken with Mustard Seed Crust and Couscous. Can be prepared in 45 minutes or less.,3.75,NA,NA,NA,NA
92,Salmon with Chili-Mango Salsa ,2004-08-20T04:00:00.000Z,"In Tucson, chef-owner Janos Wilder offers cumin-flavored rice pilaf and grilled zucchini with the fish. Flan is a good finale.",4.375,571,106,37,36
93,Turkey and Pinto Bean Chili ,2004-08-20T04:00:00.000Z,"Just like some Mexican moles, this chili has a bit of chocolate in it. Serve sour cream and shredded sharp cheddar cheese alongside.",4.375,508,826,17,45
94,Cucumber-Yogurt Salad with Mint ,2004-08-20T04:00:00.000Z,NA,3.75,62,603,3,2
95,Lamb Shanks Braised with Anise and Orange ,2004-08-20T04:00:00.000Z,"For convenience, the lamb can be prepared one day ahead, then slowly rewarmed before you plan to serve it.",3.125,1118,1226,70,92
96,Parsley Mayo ,2014-12-02T04:00:00.000Z,NA,0,306,302,34,0
97,Acini di Pepe Pasta with Garlic and Olives ,2008-05-12T19:57:03.000Z,"Small pasta like acini di pepe and orzo make wonderful room-temperature salads, since they mix so thoroughly with the other ingredients and never go stiff. Garlic, olives, and chile flakes lend a lot of zip to this quick side dish you'll come back to all summer.",4.375,209,77,8,5
98,Roast Beef Salad with Cabbage and Horseradish ,2004-08-20T04:00:00.000Z,NA,3.125,645,324,52,22
99,Savoy Cabbage and Arugula Salad ,2004-08-20T12:48:48.000Z,NA,3.125,126,46,9,3
100,"Fennel, Beet and Orange Salad with Olives ",2004-08-20T04:00:00.000Z,NA,4.375,133,91,8,2
101,Shrimp Gazpacho ,2004-08-20T04:00:00.000Z,NA,4.375,285,635,7,19
102,Grilled Steak Salad with Beets and Scallions ,2015-05-05T04:00:00.000Z,"If you don't feel like making aioli, use prepared mayonnaise and season it with mustard and garlic.",3.125,NA,NA,NA,NA
103,Parsnip and Apple Soup ,2004-08-20T04:00:00.000Z,"In addition to the fried parsnip the executive chef at Ashford Castle, Denis Lenihan, often adorns this soup with a poached carved apple.",4.375,310,89,25,3
104,Short Rib Pot Pie ,2014-02-13T04:00:00.000Z,"Shortening is the secret to extra-flaky pie crust, but nothing compares to the flavor of butter. Use both, as in this super-luxe beef pie, and you're golden.",5,NA,NA,NA,NA
105,Stout Floats ,2007-05-17T15:43:09.000Z,"On a recent visit to London, Knauer overheard a local in a pub ordering a ""Guinness and Black"" — which turned out to be the famous Irish stout plus a shot of blackberry brandy. That combination is also the genius behind these floats; the brandy's luscious fruitiness bridges the gap between the sweet ice cream and bitter beer.",3.125,248,73,10,3
106,Apricot-Pistachio Muffins Baked on the Grill ,2014-07-02T04:00:00.000Z,"If you don't want to heat up your house with the oven, you can bake any muffins on the grill but the lightly smoky flavor that the grill imparts is especially nice with corn-based ones. Because keeping the grill at a steady temperature can be tricky, the baking time can vary, so keep an eye on the muffins. For the best muffins, be sure that the entire pan is not set over direct heat (otherwise, the bottoms will burn).",5,247,185,10,5
107,Garlic Bruschetta ,2004-08-20T04:00:00.000Z,NA,3.75,201,210,11,4
108,Asian Noodles with Barbecued Duck Confit ,2008-10-24T04:00:00.000Z,"Glazed with a mix of hoisin, lime juice, and Sriracha sauce, duck confit happily travels from France to China. This exciting dish blends the fresh flavors of carrots, long beans, and herbs with slithery rice noodles and tender duck, its skin crisped under the broiler. When roasting the duck, be careful not to overcook it—you dont want it to dry out and become stringy.",5,519,1237,25,14
109,Sausage Fennel Stuffing ,2004-08-20T04:00:00.000Z,NA,4.375,NA,NA,NA,NA
110,Banana Split with Curried Chocolate-Coconut Sauce ,2006-05-01T04:00:00.000Z,The all-American soda fountain classic gets a fabulous tropical makeover.,3.75,1076,150,73,11
111,Escarole and Cheese Spoon Bread ,2004-08-20T04:00:00.000Z,NA,4.375,338,515,18,15
112,Honey-Ginger Barbecue Sauce ,2012-07-09T04:00:00.000Z,"This sweet and tangy sauce is perfect for glazing grilled meats, seafood, and veggies. It was designed for our Grilled Shrimp and Grilled Corn recipes, as part of our Gourmet Modern Menu for A Fourth of July Cookout.",4.375,298,1430,0,1
113,"Baked Pears with Rosemary, Gorgonzola Cheese and Port ",2004-08-20T04:00:00.000Z,NA,3.75,NA,NA,NA,NA
114,Kids' Matzoh Pizza ,2004-08-20T04:00:00.000Z,NA,3.125,280,587,18,13
115,"Cranberry, Quince, and Pearl Onion Compote ",2008-10-20T04:00:00.000Z,"In this chutney-like compote, quince lends a ripe-pear creaminess, and pearl onions a lush sweetness, to tart cranberries.",3.75,171,6,0,1
116,Chocolate-Mint Shamrock Shake ,2014-03-04T04:00:00.000Z,"Adding chocolate amps up this iconic minty shake. Since the chips in the ice cream get pulverized in the blender, we've added extra to give the shake a little texture and a more pronounced chocolate flavor.",5,NA,NA,NA,NA
117,Tropical Rum Punch ,2004-08-20T20:58:12.000Z,"Sweet and fruity, this is the quintessential beach or poolside drink.",5,230,26,0,1
118,Chickpea Salad Sandwich With Creamy Carrot-Radish Slaw ,2016-04-21T18:04:13.025Z,This recipe is part of our Spring Grocery Bag Menu featuring 5 easy weeknight dinners made from 1 grocery bag of ingredients.,3.75,959,1541,60,21
119,Blackberry-Raspberry Sauce ,2004-08-20T04:00:00.000Z,Can be prepared in 45 minutes or less.,4.375,129,2,0,1
120,Laddie's Sub-Bourbon ,2006-10-11T14:24:45.000Z,NA,2.5,107,0,0,0
121,Red Cabbage and Onions ,2004-08-20T04:00:00.000Z,This recipe is an accompaniment for Pan-Seared Salmon over Red Cabbage and Onions with Merlot Gastrique.,3.75,86,339,1,3
122,"Roast Cod with Potatoes, Onions, and Olives ",2004-08-20T04:00:00.000Z,This recipe is used to prepare Cod Cannelloni with Swiss Chard and Roasted Peppers .,3.75,679,333,36,55
123,Spicy Tomato Sauce ,2004-08-20T04:00:00.000Z,This recipe is used to prepare Cod Cannelloni with Swiss Chard and Roasted Peppers .,0,112,12,7,2
124,Cod Cannelloni with Swiss Chard and Roasted Pepper ,2004-08-20T04:00:00.000Z,NA,2.5,NA,NA,NA,NA
125,Swiss Chard with Roasted Pepper ,2004-08-20T04:00:00.000Z,This recipe is used to prepare Cod Cannelloni with Swiss Chard and Roasted Peppers .,3.75,123,605,7,5
126,Chocolate Almond Butter ,2004-08-20T04:00:00.000Z,Can be prepared in 45 minutes or less but requires additional unattended time.,0,273,5,28,2
127,Pastry Dough ,2004-08-20T04:00:00.000Z,"This recipe was created to prepare Sour Cream Raisin Pie and Pumpkin Pie ""Pumpkin"" .",5,234,99,16,3
128,Roasted Bell Pepper Halves Stuffed with Bulgur and Spinach ,2004-09-21T20:28:09.000Z,NA,4.375,NA,NA,NA,NA
129,Spicy Sesame Noodles with Chopped Peanuts and Thai Basil ,2007-05-30T17:42:36.000Z,This simple vegetarian pasta is perfect for a summertime picnic.,4.375,724,1130,28,21
130,Potato Gratin with Goat Cheese and Garlic ,2004-08-20T04:00:00.000Z,NA,4.375,748,1115,58,17
131,Country Sausage and Sage Dressing ,2004-08-20T04:00:00.000Z,"This recipe is intended as a baked dressing to accompany the Thanksgiving turkey . It can be used as stuffing (a practice I do not recommend for turkey), if you desire. It also makes a good stuffing for capon or pork.",4.375,323,656,23,16
132,Cherry Lime Virgin Rickeys ,2007-07-16T21:02:08.000Z,"Kids will need no explanation: They will marvel at these red-and-green-striped drinks that they swirl with a straw. And for grown-ups who may want to get in on the fun, you can make another batch—a shot of gin makes a pleasant, and civilized, addition.",0,NA,NA,NA,NA
133,Buttermilk-Spinach Spaetzle ,2004-08-20T04:00:00.000Z,"Little dumplings that are served in Germany, Austria, Switzerland and Alsace, spaetzle are usually made by pushing the batter through a strainer into boiling water. The batter in this recipe is thicker and can be shaped with a small spoon.",2.5,451,533,22,10
134,Radishes with Burrata ,2014-04-21T04:00:00.000Z,"""Spicy, vibrant watermelon radishes need little more than lemon and herbs to make magic with salty burrata."" –Alison Roman, senior associate food editor",5,235,388,19,13
135,Winter Squash Soufflé ,2006-10-20T14:55:08.000Z,Soufflés often contain so much cheese it dominates the dish. Swiss cheese subtly enriches this flavorful version.,3.75,240,374,16,12
136,Blueberry Streusel Cake ,2009-06-19T04:00:00.000Z,"We doubt you'll have any leftovers from this homey blueberry cake crowned by a buttery, brown-sugar-sweetened streusel topping, but if you do, it will make a fabulous companion to your morning coffee.",3.75,288,199,12,4
137,Low-Fat Chicken Stock ,2004-08-20T04:00:00.000Z,NA,0,23,54,1,2
138,Honey Mustard Sauce ,2004-08-20T04:00:00.000Z,Active time: 10 min Start to finish: 10 min,3.75,148,188,15,0
139,Rosemary and Lemon Pinto Beans ,2004-08-20T12:48:48.000Z,"Here's a unique and delicious accompaniment to grilled lamb, chicken or fish.",3.75,171,9,14,2
140,Asian Dipping Sauce ,2013-04-19T04:00:00.000Z,This recipe is excerpted from Cooked by Michael Pollan and is recommended as an option to serve with his Pork Shoulder Barbecue recipe. Read more in our interview with Michael Pollan.,0,54,872,2,4
141,Shrimp and Green Onion Pancakes ,2009-06-05T04:00:00.000Z,"Haemul pa jeon—savory pancakes that are crispy outside and soft and tender inside—are a popular side dish. Theyre best served warm, then dipped in a sauce of soy, lemon, and sesame.",3.75,439,1763,20,20
142,"Gnocchi with Tomato, Basil, and Olives ",2004-08-20T04:00:00.000Z,"Gnocchi al Pomodoro, Basilico, ed Olive",4.375,NA,NA,NA,NA
143,Mustard-Ginger Shrimp Canapes ,2004-08-20T04:00:00.000Z,NA,4.375,50,113,4,3
144,Rumbrosia ,2006-05-16T20:13:33.000Z,"Unless you happen to be a professional bartender, this cocktail might require buying raspberry syrup and orange bitters at the very least. But when potent and refreshing is the order of the day, you'll be glad you stocked up.",3.125,214,8,0,0
145,Roasted Root Vegetables ,2004-08-20T04:00:00.000Z,NA,4.375,NA,NA,NA,NA
146,Thai Vegetables ,2004-08-20T04:00:00.000Z,NA,3.75,67,66,4,2
147,Sage-Roasted Turkey with Caramelized Onions and Sage Gravy ,2004-08-20T04:00:00.000Z,"Jim Fobel, cookbook author, says, ""During my high school years, I always had two Thanksgiving dinners: one with my family at midday, and another later at the home of my girlfriend, Susie Mednick. Her mother cooked the turkey on a bed of caramelized onions, which mixed with the turkey drippings to produce the best gravy I’ve ever tasted. This gravy features those onions along with my mother's favored seasonings: sage and nutmeg.""",4.375,746,483,21,118
148,Shrimp Cakes with Andouille Sausage ,2004-08-20T04:00:00.000Z,NA,4.375,354,930,22,16
